total_tags,unique_tags_count,attributes,text_nodes,depth,numeric_ratio,avg_tag_len,label
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
4,4,0,3,2,0.4,8,1
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
5,5,0,4,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
5,5,0,4,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
5,5,0,4,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
5,5,0,4,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
5,5,0,4,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
5,5,0,4,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
7,7,0,6,2,0.4,8,0
